H,8.988,1E-05
He,0.0001785,4.002602
Li,0.534,6.94
Be,1.85,9.0121831
B,2.34,10.81
C,2.267,12.011
N,0.0012506,14.007
O,0.001429,15.999
F,0.001696,18.998403163
Ne,0.0008999,20.1797
Na,0.971,22.98976928
Mg,1.738,24.305
Al,2.698,26.9815384
Si,2.3296,28.085
P,1.82,30.973761998
S,2.067,32.06
Cl,0.003214,35.45
Ar,0.0017837,39.95
K,0.862,39.0983
Ca,1.54,40.078
Sc,2.989,44.955908
Ti,4.54,47.867
V,6.11,50.9415
Cr,7.15,51.9961
Mn,7.44,54.938043
Fe,7.874,55.845
Co,8.86,58.933194
Ni,8.912,58.6934
Cu,8.96,63.546
Zn,7.134,65.38
Ga,5.907,69.723
Ge,5.323,72.630
As,5.776,74.921595
Se,4.809,78.971
Br,3.122,79.904
Kr,0.003733,83.798
Rb,1.532,85.4678
Sr,2.64,87.62
Y,4.469,88.90584
Zr,6.506,91.224
Nb,8.57,92.90637
Mo,10.22,95.95
Ru,12.37,101.07
Rh,12.41,102.90549
Pd,12.02,106.42
Ag,10.501,107.8682
Cd,8.69,112.414
In,7.31,114.818
Sn,7.287,118.710
Sb,6.685,121.760
Te,6.232,127.60
I,4.93,126.90447
Xe,0.005887,131.293
Cs,1.873,132.90545196
Ba,3.594,137.327
La,6.145,138.90547
Ce,6.77,140.116
Pr,6.773,140.90766
Nd,7.007,144.242
Sm,7.52,150.36
Eu,5.243,151.964
Gd,7.895,157.25
Tb,8.229,158.925354
Dy,8.55,162.500
Ho,8.795,164.930328
Er,9.066,167.259
Tm,9.321,168.934218
Yb,6.965,173.045
Lu,9.84,174.9668
Hf,13.31,178.49
Ta,16.654,180.94788
W,19.25,183.84
Re,21.02,186.207
Os,22.59,190.23
Ir,22.56,192.217
Pt,21.46,195.084
Au,19.282,196.966570
Hg,13.5336,200.592
Tl,11.85,204.38
Pb,11.342,207.2
Bi,9.807,208.98040
Th,11.72,232.0377
Pa,15.37,231.03588
U,18.95,238.02891
