PtO2,10.2 g/cm³
Cr2O3,5.22 g/cm3
CrO2,4.89 g/cm3
Co3O4
CoO.Co2O3,6.07 g/cm3[2]
CoO,6.45 g/cm3 [1]
Co2O3,5.18 g/cm3 [2]
Cu2O,6.0 g/cm3
CuO,6.315 g/cm3
Au2O3,11.34 g/cm3 at 20 °C[1]
HfO2,9.68 g/cm3, solid
IrO2,11.66 g/cm3
FeO,5.745 g/cm3
Fe2O3,5.25 g/cm3[1]
FeO(OH),4.25 g/cm3
MnO2,5.026 g/cm3
Mn3O4
MnO·Mn2O3,4.86 g/cm3
MnO,5.43 g/cm3
Mn2O3,4.5 g/cm3
MoO2,6.47 g/cm3
MoO3,4.70 g/cm3[1]
NiO,6.67 g/cm3
Ni2O3,4.84 g/cm3
NbO,7.30 gcm3[1]
Nb2O5,4.60 g/cm3
OsO2,11.4 g/cm3
OsO4,4.9 g/cm3[1]
PdO,8.3 g/cm3
ReO3,6.92 g/cm3
ReO2,11.4 g/cm3[1]
Rh2O3,8.20 g/cm3
RhO2,7.2 g/cm3
RuO4,3.29 g/cm3
RuO2,6.97 g/cm3
Sc2O3,3.86 g/cm3
Ag2O,7.14 g/cm3
AgO
Ag2O.Ag2O3,7.48 g/cm3
SrTiO3,5.11 g/cm3
Ta2O5,β-Ta2O5 = 8.18 g/cm3[1]  α-Ta2O5 = 8.37 g/cm3
Tc2O7,3.5 g/cm3
TiO2,4.23 g/cm3 (rutile)3.78 g/cm3 (anatase)
TiO,4.95 g/cm3
Ti2O3,4.49 g/cm3
WO3,7.16 g/cm3
W2O3,g/cm3
WO2,10.8 g/cm3
VO,5.758 g/cm3
V2O3,4.87 g/cm3
VO2,4.571 g/cm3 (monoclinic)4.653 g/cm3 (tetragonal)
V2O5,3.357 g/cm3
YBa2Cu3O7,6.3 g/cm3[1][2]
Y2O3,5.010 g/cm3, solid
ZrO2,5.68 g/cm3
